index:0acc:0.1470142467414368,loss:2.2933621406555176
index:100acc:0.5560944727947004,loss:1.3373339176177979
index:0acc:0.32070324340709305,loss:2.1319737434387207
index:100acc:0.5572649443400257,loss:1.3187181949615479
test:acc:0.5572649443400257,loss:1.3187181949615479
index:0acc:0.6002102398565362,loss:1.288575530052185
index:100acc:0.5935729303480886,loss:1.1818233728408813
test:acc:0.5935729303480886,loss:1.1818233728408813
index:0acc:0.6095615478808222,loss:1.2085013389587402
index:100acc:0.6052798071376756,loss:1.0971733331680298
test:acc:0.6052798071376756,loss:1.0971733331680298
index:0acc:0.6256212906564432,loss:1.2838658094406128
index:100acc:0.6127506358823136,loss:1.0790966749191284
test:acc:0.6127506358823136,loss:1.0790966749191284
index:0acc:0.6299630433084359,loss:1.1736721992492676
index:100acc:0.6163799577267866,loss:1.093362808227539
test:acc:0.6163799577267866,loss:1.093362808227539
index:0acc:0.6275694149638325,loss:1.1499935388565063
index:100acc:0.6213053438092553,loss:1.0544321537017822
test:acc:0.6213053438092553,loss:1.0544321537017822
index:0acc:0.64159928913894,loss:1.1492619514465332
index:100acc:0.6261716135520539,loss:1.0277186632156372
test:acc:0.6261716135520539,loss:1.0277186632156372
index:0acc:0.6439294657598319,loss:1.1011711359024048
index:100acc:0.6265453603899281,loss:1.0323184728622437
test:acc:0.6265453603899281,loss:1.0323184728622437
index:0acc:0.6376144623481841,loss:1.0946301221847534
index:100acc:0.6291048949457078,loss:1.0385199785232544
test:acc:0.6291048949457078,loss:1.0385199785232544
index:0acc:0.6436955330092685,loss:1.0629469156265259
index:100acc:0.6307641566746724,loss:1.0150415897369385
test:acc:0.6307641566746724,loss:1.0150415897369385
index:0acc:0.6420422721979286,loss:1.054966688156128
index:100acc:0.6338590427656448,loss:1.0154798030853271
test:acc:0.6338590427656448,loss:1.0154798030853271
index:0acc:0.6499451171794604,loss:1.1590160131454468
index:100acc:0.6346090354041735,loss:1.0092462301254272
test:acc:0.6346090354041735,loss:1.0092462301254272
index:0acc:0.6446962070764619,loss:1.0511200428009033
index:100acc:0.6367091904516397,loss:0.986901044845581
test:acc:0.6367091904516397,loss:0.986901044845581
index:0acc:0.6457759928491738,loss:1.091460943222046
index:100acc:0.6369969339361435,loss:1.020397663116455
test:acc:0.6369969339361435,loss:1.020397663116455
index:0acc:0.6429722377845334,loss:1.0154707431793213
index:100acc:0.6390750269146412,loss:1.0087838172912598
test:acc:0.6390750269146412,loss:1.0087838172912598
index:0acc:0.6534382874684804,loss:1.0472279787063599
index:100acc:0.6415490722404203,loss:0.9796786308288574
test:acc:0.6415490722404203,loss:0.9796786308288574
index:0acc:0.6534304079283166,loss:1.0653282403945923
index:100acc:0.6410882929481637,loss:0.9978338479995728
test:acc:0.6410882929481637,loss:0.9978338479995728
index:0acc:0.6415141600862141,loss:1.0133063793182373
index:100acc:0.6419888227068473,loss:0.9625585675239563
test:acc:0.6419888227068473,loss:0.9625585675239563
index:0acc:0.6497554842268356,loss:1.0140608549118042
index:100acc:0.6453990456031748,loss:0.9789431691169739
test:acc:0.6453990456031748,loss:0.9789431691169739
index:0acc:0.6552177556694565,loss:1.067230463027954
index:100acc:0.6459769050654028,loss:0.9845024943351746
test:acc:0.6459769050654028,loss:0.9845024943351746
index:0acc:0.6548105422832671,loss:1.029622197151184
index:100acc:0.6470239969922551,loss:0.9842799305915833
test:acc:0.6470239969922551,loss:0.9842799305915833
index:0acc:0.6571165303718725,loss:1.0502232313156128
index:100acc:0.6461849242493607,loss:0.9782853722572327
test:acc:0.6461849242493607,loss:0.9782853722572327
index:0acc:0.6558675323382971,loss:1.0878314971923828
index:100acc:0.6503889750642585,loss:0.9691417217254639
test:acc:0.6503889750642585,loss:0.9691417217254639
index:0acc:0.649677887009065,loss:1.029295563697815
index:100acc:0.6487273035972231,loss:0.9867374897003174
test:acc:0.6487273035972231,loss:0.9867374897003174
index:0acc:0.6466961484271334,loss:0.9941664934158325
index:100acc:0.6485605805119192,loss:0.9879902601242065
test:acc:0.6485605805119192,loss:0.9879902601242065
index:0acc:0.6490537458876224,loss:0.9880462884902954
index:100acc:0.6523138940098171,loss:0.9757034778594971
test:acc:0.6523138940098171,loss:0.9757034778594971
index:0acc:0.6646594340859794,loss:0.9822970628738403
index:100acc:0.6507047711741589,loss:0.943518340587616
test:acc:0.6507047711741589,loss:0.943518340587616
index:0acc:0.6572401138540654,loss:1.0110983848571777
index:100acc:0.6543394975440076,loss:0.9798945188522339
test:acc:0.6543394975440076,loss:0.9798945188522339
index:0acc:0.6616477754110895,loss:0.9791246652603149
index:100acc:0.6515700732559563,loss:0.970465898513794
test:acc:0.6515700732559563,loss:0.970465898513794
index:0acc:0.6521011212108963,loss:0.9787009954452515
index:100acc:0.6540460628433342,loss:0.9597309827804565
test:acc:0.6540460628433342,loss:0.9597309827804565
index:0acc:0.657360546561896,loss:0.9957621693611145
index:100acc:0.6549969163651626,loss:0.9452739357948303
test:acc:0.6549969163651626,loss:0.9452739357948303
index:0acc:0.6582225116928067,loss:0.9834024906158447
index:100acc:0.6545257415722991,loss:0.9501044750213623
test:acc:0.6545257415722991,loss:0.9501044750213623
index:0acc:0.656829223529625,loss:0.9872767925262451
index:100acc:0.6551796886297946,loss:0.9943570494651794
index:0acc:0.028190360715368293,loss:5.828673839569092
index:100acc:0.5589346017329492,loss:1.3245099782943726
test:acc:0.5589346017329492,loss:1.3245099782943726
index:0acc:0.46288701422351675,loss:1.3711116313934326
index:100acc:0.5924247747540654,loss:1.1448957920074463
test:acc:0.5924247747540654,loss:1.1448957920074463
index:0acc:0.48586768782710793,loss:1.265047311782837
index:100acc:0.6090174263297343,loss:1.0805907249450684
test:acc:0.6090174263297343,loss:1.0805907249450684
index:0acc:0.49575273760206473,loss:1.2185719013214111
index:100acc:0.6219587206218208,loss:1.0407238006591797
test:acc:0.6219587206218208,loss:1.0407238006591797
index:0acc:0.5023654435594405,loss:1.203424096107483
index:100acc:0.6302996914156332,loss:1.0095609426498413
test:acc:0.6302996914156332,loss:1.0095609426498413
index:0acc:0.5224333505312111,loss:1.137678861618042
index:100acc:0.6385387318687864,loss:0.9816814064979553
